Time;Monday;Tuesday;Wednesday;Tuesday;Friday
09:00-10:00;;;;CSE 462;;
10:00-11:00;;;;CSE 462;;
11:00-12:00;;;;;;
12:00-13:00;;;;;;
13:00-14:00;;;;CSE 114;CSE 462;
14:00-15:00;;;;;CSE 114;
15:00-16:00;;;;;CSE 114;
16:00-17:00;;;;;;
17:00-18:00;;;;;;
18:00-19:00;;;;;;
